memberID,holdtime,pack_name,piece_count_1,piece_count_2,difficulty_rating_1,difficulty_rating_2,brand_2,brand_1,num_puzzles
member1,2.939410904142848,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member17,17.904266110125544,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member28,19.639177543617237,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member34,112.03003386134372,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member45,1.5276004360534954,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member48,9.92174493390882,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member57,12.48040938899324,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member58,12.22361991970015,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member67,8.963557649000267,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member86,17.847534600041584,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member113,9.911647486103693,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member127,6.749851254303553,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member140,6.068473336133831,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member146,32.15966511246914,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member153,12.325037302016122,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member173,7.817210982629757,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member181,6.9331044567376505,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member195,146.09580450966237,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member203,50.66783944047393,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member213,44.338000221154026,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member225,14.18488626577911,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member235,11.096176262384745,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member245,9.127448667362176,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member250,4.086529953479653,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member251,9.87903760958227,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member279,7.005309560304352,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member280,27.9293128247522,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member284,10.911961439181262,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member298,8.754729641140452,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member309,4.760760893360301,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member317,27.15011079202265,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member324,12.762062477568508,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member355,18.018242692401586,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member359,5.138121036208958,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member366,6.999428175570277,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member377,6.265377154984491,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member385,27.41000083911481,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member403,10.890870064595486,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member415,14.959250535548044,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member417,10.733302466932408,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member452,28.75423391156833,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member457,6.493974472883507,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member479,6.630476692449005,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member490,21.136967565552176,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member509,15.838108942905231,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member533,27.19700755907913,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member557,6.215092773440706,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member580,31.80476433346677,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member600,9.858895701884457,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member606,11.743305371884665,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member608,6.610162569968148,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member611,4.557698593006215,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member632,13.115365253659505,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member655,8.131939453396019,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member656,18.895944939926515,Artifact Puzzles Justin Hillgrove Word Travels South Artifact Puzzles Justin Hillgrove Word Travels West,456,548,1,2,Artifact,Artifact,2
member1,0.9988847760287384,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member86,6.755326805545487,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member126,3.926112246315753,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member137,9.917405302790428,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member146,2.0820543755692014,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member167,6.037975869593773,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member176,4.719661050574873,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member189,10.909640418713495,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member211,22.747503480392684,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member307,1.0863759377542246,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member315,4.74816793366272,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member324,8.245106700555985,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member348,2.127715710921377,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member512,2.709796360986956,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member603,5.934782077930706,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member628,0.9094228116514468,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member664,74.18619684382702,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member669,15.614433436214815,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,195,220,3,3,DaVici,DaVici,2
member1,10.865031635948368,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member72,14.65616684088169,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member92,1.9444708379399651,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member103,57.78314090824471,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member122,13.10969807284861,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member126,3.977279396966817,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member145,15.978794683268417,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member243,3.5152542543559373,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member249,6.83226000874434,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member258,10.63992575264375,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member287,2.6619745703729745,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member322,26.831378511529376,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member326,2.041967530691644,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member411,1.997849660632292,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member416,25.759549051906298,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member446,7.10197278653206,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member493,9.05411763427662,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member525,24.131243146718045,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member576,9.91295483173374,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member625,9.548292726581806,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member637,0.9421117044852546,DaVici Puzzles Flying Frigate DaVici Puzzles Hobby Horse,130,165,1,1,DaVici,DaVici,2
member1,22.08397133176248,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member6,42.78622047221136,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member24,6.027605797585069,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member37,5.840982590192998,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member44,4.998777008571586,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member65,8.75284104438772,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member73,13.77478269385905,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member90,4.229850334736713,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member110,3.664191520434514,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member129,4.365586283021331,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member154,79.25332162465746,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member198,8.234060880167778,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member219,2.7494969235677083,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member222,5.175742425280729,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member224,13.245166421873623,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member238,10.26195356371434,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member265,11.93793428164941,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member279,7.01701269799103,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member325,8.864627754867083,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member328,8.166650083474549,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member337,8.874771666081193,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member417,26.021413426686227,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member424,28.17291424681344,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member474,0.8076527686618287,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member482,6.934487218290949,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member510,9.73934236366118,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member553,16.148307469116958,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member556,11.236800102542905,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member567,110.93315115567712,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member574,5.2879815931263545,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member578,24.38560915222242,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member580,27.040918618602905,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member581,19.85669946804154,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member589,7.737821492325139,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member641,1.9890132168424537,Liberty Puzzles Haeckel Hummingbirds Nautilus Puzzles Mother Adams,485,222,2,2,Nautilus,Liberty,2
member1,5.077602712783403,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member7,5.182421610593275,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member9,25.393385926647152,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member24,21.00769169352257,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member25,2.4822921705162733,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member40,3.1354302759366783,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member45,0.8421413246716088,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member50,9.081097872807929,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member60,18.82721258574397,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member76,11.761973584188704,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member96,8.334382704816239,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member110,6.60760464085654,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member117,8.306026923035729,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member142,8.953599390469815,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member150,6.237363272510174,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member161,0.8206542022068287,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member162,3.861294885950556,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member187,22.85153018485165,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member202,9.997993445124258,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member214,21.874337802179458,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member230,25.14244585481756,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member234,33.78104690034865,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member238,11.287257579630474,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member265,6.4389784474107525,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member268,3.010399456965081,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member275,3.249089793428958,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member279,5.037006479159109,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member280,0.9754749379802314,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member282,27.227280700440684,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member284,3.044450947804409,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member292,2.1221605374802777,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member298,18.116748672990244,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member299,10.028104101316494,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member309,8.464866520983449,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member318,7.236987139218357,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member325,10.009024694207106,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member338,14.887569575470138,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member363,2.968167733852141,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member376,16.83118680707338,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member411,2.978511030797558,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member418,7.086731561453415,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member429,10.607631450654663,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member438,14.077224148278148,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member466,30.584126546448037,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member467,7.642071115688542,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member474,10.028716532135997,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member479,10.691080573730082,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member480,7.756281602178796,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member493,7.721932590531215,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member500,8.187023269387742,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member512,2.9656572584754977,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member525,19.34793626032181,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member533,18.08710379884213,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member547,34.05636814017559,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member552,4.913701263924317,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member580,4.3688890286698845,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member582,2.7983743993471992,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member585,2.958100946171898,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member600,5.69871870036235,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member608,1.1423078158544444,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member637,10.061996609638276,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member643,17.197533412317604,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member647,1.8285853360423496,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member655,5.77472055034331,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member656,19.629206738747687,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member659,9.761757334263208,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member665,5.944317307616169,DaVici Puzzles Diana Zimens City Of Cats ,700,0,2,2,DaVici,DaVici,1
member1,0.6003234059324537,Stave Puzzles Have A Ball Artifact Puzzles Kristian Adam Mr. Pink Palace,65,203,3,1,Stave,Artifact,2
member40,7.862848770749051,Stave Puzzles Have A Ball Artifact Puzzles Kristian Adam Mr. Pink Palace,65,203,3,1,Stave,Artifact,2
member51,2.980286945688125,Stave Puzzles Have A Ball Artifact Puzzles Kristian Adam Mr. Pink Palace,65,203,3,1,Stave,Artifact,2
member57,5.220885422390787,Stave Puzzles Have A Ball Artifact Puzzles Kristian Adam Mr. Pink Palace,65,203,3,1,Stave,Artifact,2
member126,2.8894742584361457,Stave Puzzles Have A Ball Artifact Puzzles Kristian Adam Mr. Pink Palace,65,203,3,1,Stave,Artifact,2
member388,81.0786925145884,Stave Puzzles Have A Ball Artifact Puzzles Kristian Adam Mr. Pink Palace,65,203,3,1,Stave,Artifact,2
member500,2.193836042477257,Stave Puzzles Have A Ball Artifact Puzzles Kristian Adam Mr. Pink Palace,65,203,3,1,Stave,Artifact,2
member509,20.553959792225648,Stave Puzzles Have A Ball Artifact Puzzles Kristian Adam Mr. Pink Palace,65,203,3,1,Stave,Artifact,2
member557,3.6244824816004977,Stave Puzzles Have A Ball Artifact Puzzles Kristian Adam Mr. Pink Palace,65,203,3,1,Stave,Artifact,2
member630,3.224452401707072,Stave Puzzles Have A Ball Artifact Puzzles Kristian Adam Mr. Pink Palace,65,203,3,1,Stave,Artifact,2
